id,iata_code,icao_code,name,country,logo_url,website,alliance,is_active,created_at,updated_at
6,AA,,American Airlines,United States,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:50.985061+00
5,BA,,British Airways,United Kingdom,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/BA.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:51.575252+00
7,DL,,Delta Air Lines,United States,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/DL.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:52.223262+00
21,ZZ,,Duffel Airways,United Kingdom,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/ZZ.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:52.261262+00
1,EK,,Emirates,United Arab Emirates,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/EK.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:52.357977+00
20,FZ,,flydubai,United Arab Emirates,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/FZ.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:52.6816+00
17,IB,,Iberia,Spain,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/IB.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:53.09919+00
18,KL,,KLM,Netherlands,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/KL.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:53.53428+00
19,WY,,Oman Air,Oman,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/WY.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:54.455736+00
16,QF,,Qantas,Australia,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/QF.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:54.803767+00
12,SQ,,Singapore Airlines,Singapore,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/SQ.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:55.99607+00
11,TK,,Turkish Airlines,Turkey,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/TK.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:57.265877+00
4,VS,,Virgin Atlantic,United Kingdom,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/VS.svg,,,t,2026-02-01 17:43:49.013658+00,2026-02-01 17:57:57.932556+00
22,12,,12 North,,,,,t,2026-02-01 17:55:25.464009+00,2026-02-01 17:57:49.835127+00
23,Q5,,40-Mile Air,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/Q5.svg,,,t,2026-02-01 17:55:25.54368+00,2026-02-01 17:57:49.853021+00
24,GB,,ABX Air,,,,,t,2026-02-01 17:55:25.549981+00,2026-02-01 17:57:49.860069+00
25,A3,,Aegean Airlines,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/A3.svg,,,t,2026-02-01 17:55:25.560351+00,2026-02-01 17:57:49.867036+00
26,AX,,Aergo International Pty Ltd,,,,,t,2026-02-01 17:55:25.579226+00,2026-02-01 17:57:49.873904+00
27,EI,,Aer Lingus,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/EI.svg,,,t,2026-02-01 17:55:25.603457+00,2026-02-01 17:57:49.885967+00
28,EG,,Aer Lingus UK,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/EG.svg,,,t,2026-02-01 17:55:25.610743+00,2026-02-01 17:57:49.899552+00
29,7T,,Aero Express del Ecuador - Trans A,,,,,t,2026-02-01 17:55:25.628906+00,2026-02-01 17:57:49.904854+00
30,SU,,Aeroflot,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/SU.svg,,,t,2026-02-01 17:55:25.645251+00,2026-02-01 17:57:49.91368+00
31,RF,,Aero-K Airlines,,,,,t,2026-02-01 17:55:25.655893+00,2026-02-01 17:57:49.920934+00
32,EF,,Aerolinea del Caribe Peru S.A.C.,,,,,t,2026-02-01 17:55:25.669472+00,2026-02-01 17:57:49.926222+00
33,JK,,Aerolinea Del Caribe S.A.,,,,,t,2026-02-01 17:55:25.685207+00,2026-02-01 17:57:49.93973+00
34,AR,,Aerolineas Argentinas,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AR.svg,,,t,2026-02-01 17:55:25.704133+00,2026-02-01 17:57:49.958139+00
35,3S,,Aerologic,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/3S.svg,,,t,2026-02-01 17:55:25.717272+00,2026-02-01 17:57:49.970966+00
36,AM,,Aeromexico,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AM.svg,,,t,2026-02-01 17:55:25.745378+00,2026-02-01 17:57:49.976949+00
37,5D,,Aeromexico Connect,,,,,t,2026-02-01 17:55:25.751789+00,2026-02-01 17:57:49.983674+00
38,DC,,AERONAVES DOMINICANAS SRL,,,,,t,2026-02-01 17:55:25.772347+00,2026-02-01 17:57:49.990239+00
39,KA,,Aero Nomad Airlines LLC,,,,,t,2026-02-01 17:55:25.783847+00,2026-02-01 17:57:50.015191+00
40,OT,,Aeropelican Air Services,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/OT.svg,,,t,2026-02-01 17:55:25.79897+00,2026-02-01 17:57:50.022769+00
41,VH,,Aeropostal Airlines,,https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/VH.svg,,,t,2026-02-01 17:55:25.81585+00,2026-02-01 17:57:50.031636+00
