id,iata_code,icao_code,name,city,country,country_code,latitude,longitude,timezone,is_active,created_at,updated_at
9050,AAH,,Aachen Merzbrück Airfield,Aachen,DE,DE,50.82334500,6.18672200,,t,2026-02-01 17:56:17.753228+00,2026-02-01 17:56:17.753228+00
9051,AAL,,Aalborg Airport,Aalborg,DK,DK,57.09483800,9.85285300,,t,2026-02-01 17:56:17.800185+00,2026-02-01 17:56:17.800185+00
9052,AAR,,Aarhus Airport,Aarhus,DK,DK,56.30756600,10.62407900,,t,2026-02-01 17:56:17.801581+00,2026-02-01 17:56:17.801581+00
9053,JEG,,Aasiaat Airport,Aasiaat,GL,GL,68.72171900,-52.78554600,,t,2026-02-01 17:56:17.802604+00,2026-02-01 17:56:17.802604+00
9054,ABD,,Abadan Airport,Abadan,IR,IR,30.36760800,48.22760500,,t,2026-02-01 17:56:17.803455+00,2026-02-01 17:56:17.803455+00
9055,AHJ,,Aba Hongyuan Airport,Aba,CN,CN,32.53025500,102.35379000,,t,2026-02-01 17:56:17.804296+00,2026-02-01 17:56:17.804296+00
9056,ABF,,Abaiang Airport,Abaiang,KI,KI,1.79860900,173.04100000,,t,2026-02-01 17:56:17.805373+00,2026-02-01 17:56:17.805373+00
9057,ABA,,Abakan Airport,Abakan,RU,RU,53.75095000,91.39950200,,t,2026-02-01 17:56:17.806265+00,2026-02-01 17:56:17.806265+00
9058,DIR,,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,ET,ET,9.62408500,41.85418600,,t,2026-02-01 17:56:17.806706+00,2026-02-01 17:56:17.806706+00
9059,ABW,,Abau Airport,Abau,PG,PG,-10.16170000,148.69100000,,t,2026-02-01 17:56:17.807228+00,2026-02-01 17:56:17.807228+00
9060,BGH,,Abbaye Airport,Bogue,MR,MR,16.63331400,-14.20000100,,t,2026-02-01 17:56:17.80771+00,2026-02-01 17:56:17.80771+00
9061,YXX,,Abbotsford International Airport,Abbotsford,CA,CA,49.02420900,-122.36777700,,t,2026-02-01 17:56:17.808216+00,2026-02-01 17:56:17.808216+00
9062,EAB,,Abbse Airport,Abbs,YE,YE,16.01109400,43.17505700,,t,2026-02-01 17:56:17.809055+00,2026-02-01 17:56:17.809055+00
9063,TID,,Abdelhafid Boussouf Bou Chekif Airport,Tiaret,DZ,DZ,35.34076100,1.46362800,,t,2026-02-01 17:56:17.810239+00,2026-02-01 17:56:17.810239+00
9064,MLG,,Abdul Rachman Saleh Airport,Malang,ID,ID,-7.93083200,112.71332000,,t,2026-02-01 17:56:17.810912+00,2026-02-01 17:56:17.810912+00
9065,AEH,,Abeche Airport,Abeche,TD,TD,13.84709300,20.84618000,,t,2026-02-01 17:56:17.811482+00,2026-02-01 17:56:17.811482+00
9066,ZNZ,,Abeid Amani Karume International Airport,Zanzibar,TZ,TZ,-6.22005600,39.22299900,,t,2026-02-01 17:56:17.812255+00,2026-02-01 17:56:17.812255+00
9067,SNU,,Abel Santamaria Airport,Santa Clara,CU,CU,22.49217700,-79.94379300,,t,2026-02-01 17:56:17.812688+00,2026-02-01 17:56:17.812688+00
9068,AEA,,Abemama Atoll Airport,Abemama Atoll,KI,KI,0.49078600,173.83002700,,t,2026-02-01 17:56:17.813247+00,2026-02-01 17:56:17.813247+00
9069,OGO,,Abengourou Airport,Abengourou,CI,CI,6.71511300,-3.47030900,,t,2026-02-01 17:56:17.813709+00,2026-02-01 17:56:17.813709+00
9070,ABZ,,Aberdeen International Airport,Aberdeen,GB,GB,57.20279900,-2.19897100,,t,2026-02-01 17:56:17.814215+00,2026-02-01 17:56:17.814215+00
9071,ABR,,Aberdeen Regional Airport,Aberdeen,US,US,45.45127900,-98.41976200,,t,2026-02-01 17:56:17.815134+00,2026-02-01 17:56:17.815134+00
9072,AHB,,Abha Regional Airport,Abha,SA,SA,18.23747600,42.65712700,,t,2026-02-01 17:56:17.81587+00,2026-02-01 17:56:17.81587+00
9073,ABI,,Abilene Regional Airport,Abilene,US,US,32.41123700,-99.68182200,,t,2026-02-01 17:56:17.816545+00,2026-02-01 17:56:17.816545+00
9074,ABG,,Abingdon Downs Airport,Abingdon Downs,AU,AU,-17.61669900,143.16700700,,t,2026-02-01 17:56:17.817328+00,2026-02-01 17:56:17.817328+00
9075,ABO,,Aboisso Airport,Aboisso,CI,CI,5.46667000,-3.20000000,,t,2026-02-01 17:56:17.817931+00,2026-02-01 17:56:17.817931+00
9076,AOD,,Abou-Deïa Airport,Abou-Deïa,TD,TD,11.46666700,19.28333300,,t,2026-02-01 17:56:17.818393+00,2026-02-01 17:56:17.818393+00
9077,SPI,,Abraham Lincoln Capital Airport,Springfield,US,US,39.84390000,-89.67791900,,t,2026-02-01 17:56:17.818781+00,2026-02-01 17:56:17.818781+00
9078,RSK,,Abresso Airport,Ransiki,ID,ID,45.53597800,9.19983300,,t,2026-02-01 17:56:17.819162+00,2026-02-01 17:56:17.819162+00
9079,PSR,,Abruzzo Airport,Pescara,IT,IT,42.43127600,14.18388300,,t,2026-02-01 17:56:17.820762+00,2026-02-01 17:56:17.820762+00
15,AUH,,Abu Dhabi International Airport,Abu Dhabi,AE,AE,24.43746900,54.65058600,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:17.821159+00
9081,AEU,,Abu Musa Island Airport,Abu Musa Island,IR,IR,25.87650200,55.03106900,,t,2026-02-01 17:56:17.834861+00,2026-02-01 17:56:17.834861+00
9082,AUE,,Abu Rudeis Airport,Abu Rudeis,EG,EG,28.90182600,33.19866300,,t,2026-02-01 17:56:17.835475+00,2026-02-01 17:56:17.835475+00
9083,ABS,,Abu Simbel Airport,Abu Simbel,EG,EG,22.37308300,31.61124500,,t,2026-02-01 17:56:17.836546+00,2026-02-01 17:56:17.836546+00
9084,ARA,,Acadiana Regional Airport,New Iberia,US,US,30.03785400,-91.88318900,,t,2026-02-01 17:56:17.837969+00,2026-02-01 17:56:17.837969+00
9085,ARF,,Acaricuara Airport,Acaricuara,CO,CO,0.53333000,-70.13330000,,t,2026-02-01 17:56:17.838654+00,2026-02-01 17:56:17.838654+00
9086,MFV,,Accomack County Airport,Melfa,US,US,37.64486400,-75.76111700,,t,2026-02-01 17:56:17.840557+00,2026-02-01 17:56:17.840557+00
9087,ACS,,Achinsk Airport,Achinsk,RU,RU,56.26908800,90.57061700,,t,2026-02-01 17:56:17.842691+00,2026-02-01 17:56:17.842691+00
9088,ACU,,Achutupo Airport,Achutupo,PA,PA,9.18872800,-77.99407300,,t,2026-02-01 17:56:17.846771+00,2026-02-01 17:56:17.846771+00
9089,LCG,,A Coruña Airport,A Coruña,ES,ES,43.30177700,-8.37818600,,t,2026-02-01 17:56:17.847482+00,2026-02-01 17:56:17.847482+00
9090,AAD,,Adado Airport,Adado,SO,SO,6.09653300,46.63756200,,t,2026-02-01 17:56:17.847926+00,2026-02-01 17:56:17.847926+00
9091,ADK,,Adak Airport,Adak Island,US,US,51.87799800,-176.64599600,,t,2026-02-01 17:56:17.848384+00,2026-02-01 17:56:17.848384+00
9092,AOM,,Adam Airport,Adam,OM,OM,22.49215500,57.42781000,,t,2026-02-01 17:56:17.852654+00,2026-02-01 17:56:17.852654+00
9093,AIP,,Adampur Airport,Adampur,IN,IN,31.42434800,75.76589200,,t,2026-02-01 17:56:17.854043+00,2026-02-01 17:56:17.854043+00
9,AMS,,Amsterdam Airport Schiphol,Amsterdam,NL,NL,52.30885600,4.76586900,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:18.068867+00
13,BOM,,Chhatrapati Shivaji International Airport,Mumbai,IN,IN,19.08928300,72.86753600,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:29.88283+00
3,DXB,,Dubai International Airport,Dubai,AE,AE,25.25298700,55.36503500,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:37.953312+00
10,FRA,,Frankfurt am Main Airport,Frankfurt,DE,DE,50.03486600,8.56775500,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:41.078103+00
14,DOH,,Hamad International Airport,Doha,QA,QA,25.26064200,51.61511800,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:45.308332+00
18,HND,,Haneda Airport,Tokyo,JP,JP,35.55084600,139.77991900,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:45.443596+00
2,LHR,,Heathrow Airport,London,GB,GB,51.47031100,-0.45811800,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:46.225381+00
6,HKG,,Hong Kong International Airport,Hong Kong,HK,HK,22.30833100,113.91732000,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:47.421496+00
19,ICN,,Incheon International Airport,Seoul,KR,KR,37.46028400,126.44042700,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:49.180374+00
12,DEL,,Indira Gandhi International Airport,New Delhi,IN,IN,28.55849800,77.10019300,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:49.28054+00
11,IST,,Istanbul Airport,Istanbul,TR,TR,41.27527800,28.75194400,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:49.937734+00
1,JFK,,John F. Kennedy International Airport,New York,US,US,40.64055600,-73.77851900,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:51.127926+00
21,KUL,,Kuala Lumpur International Airport,Kuala Lumpur,MY,MY,2.74558500,101.70905200,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:56:58.153067+00
13471,LDG,,Leshukonskoye Airport,Leshukonskoye,RU,RU,64.89609800,45.73307000,,t,2026-02-01 17:57:01.537579+00,2026-02-01 17:57:01.537579+00
13472,LES,,Lesobeng Airport,Lesobeng,LS,LS,-29.75588200,28.35695500,,t,2026-02-01 17:57:01.558112+00,2026-02-01 17:57:01.558112+00
22,MCT,,Muscat International Airport,Muscat,OM,OM,23.59698900,58.28421400,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:11.32949+00
17,NRT,,Narita International Airport,Tokyo,JP,JP,35.77355400,140.39285000,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:12.079345+00
8,ORD,,O'Hare International Airport,Chicago,US,US,41.97638100,-87.90606000,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:17.119062+00
4,CDG,,Paris Charles de Gaulle Airport,Paris,FR,FR,49.01124400,2.54896200,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:20.105369+00
5,SIN,,Singapore Changi Airport,Singapore,SG,SG,1.35611500,103.98512700,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:33.752709+00
20,BKK,,Suvarnabhumi Airport,Bangkok,TH,TH,13.69118700,100.74812800,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:37.042311+00
16,SYD,,Sydney Airport,Sydney,AU,AU,-33.94301100,151.17613800,,t,2026-02-01 17:43:48.98996+00,2026-02-01 17:57:37.126007+00
9094,ADT,,Ada Municipal Airport,Ada,US,US,34.80332100,-96.67099500,,t,2026-02-01 17:56:17.855056+00,2026-02-01 17:56:17.855056+00
9095,ADA,,Adana Şakirpaşa Airport,Adana,TR,TR,36.98345700,35.28626600,,t,2026-02-01 17:56:17.857923+00,2026-02-01 17:56:17.857923+00
9096,AEE,,Adareil Airport,Adareil,SS,SS,10.05334100,32.95962300,,t,2026-02-01 17:56:17.859468+00,2026-02-01 17:56:17.859468+00
9097,ADD,,Addis Ababa Bole International Airport,Addis Ababa,ET,ET,8.97902200,38.79871900,,t,2026-02-01 17:56:17.863774+00,2026-02-01 17:56:17.863774+00
9098,ADS,,Addison Airport,Dallas,US,US,32.96928600,-96.83643400,,t,2026-02-01 17:56:17.864675+00,2026-02-01 17:56:17.864675+00
9099,ADL,,Adelaide Airport,Adelaide,AU,AU,-34.94557800,138.53212200,,t,2026-02-01 17:56:17.865327+00,2026-02-01 17:56:17.865327+00
9100,MGQ,,Aden Adde International Airport,Mogadishu,SO,SO,2.01581700,45.30483200,,t,2026-02-01 17:56:17.865888+00,2026-02-01 17:56:17.865888+00
9101,ADE,,Aden International Airport,Aden,YE,YE,12.82587500,45.03720100,,t,2026-02-01 17:56:17.866516+00,2026-02-01 17:56:17.866516+00
9102,SLK,,Adirondack Regional Airport,Saranac Lake,US,US,44.38452500,-74.20532000,,t,2026-02-01 17:56:17.866958+00,2026-02-01 17:56:17.866958+00
9103,SOC,,Adisumarmo International Airport,Surakarta,ID,ID,-7.51523100,110.75485600,,t,2026-02-01 17:56:17.867646+00,2026-02-01 17:56:17.867646+00
9104,ADF,,Adıyaman Airport,Adıyaman,TR,TR,37.73283400,38.47044700,,t,2026-02-01 17:56:17.868138+00,2026-02-01 17:56:17.868138+00
9105,ADB,,Adnan Menderes Airport,İzmir,TR,TR,38.29308100,27.15451400,,t,2026-02-01 17:56:17.869499+00,2026-02-01 17:56:17.869499+00
9106,MAD,,Adolfo Suárez Madrid-Barajas Airport,Madrid,ES,ES,40.49923000,-3.56716900,,t,2026-02-01 17:56:17.870216+00,2026-02-01 17:56:17.870216+00
9107,AEG,,Aek Godang Airport,Aek Godang,ID,ID,1.40000000,99.43064800,,t,2026-02-01 17:56:17.871233+00,2026-02-01 17:56:17.871233+00
